id;modelo;tipo;precio;matricula;marca;jhi_date
1;mobile Fish;COCHE;5808;FTP Savings Account;deposit Tasty Metal Bacon Implementation;2022-11-22T13:12:45
2;Officer;COCHE;43194;intangible;enable Gorgeous Frozen Pants;2022-11-22T07:38:41
3;Licensed Savings Account;COCHE;4645;Credit Card Account Table Small Frozen Sausages;South Dakota envisioneer Music;2022-11-22T07:41:23
4;Monitored Bahamian Dollar Investment Account;COCHE;66252;hardware Costa Rica Mayotte;Industrial;2022-11-21T17:00:59
5;Views e-enable Communications;COCHE;4522;software scale interactive;Louisiana Specialist Home Loan Account;2022-11-22T06:36:26
6;scalable;COCHE;98688;index orange;Jewelery;2022-11-22T08:27:32
7;monitor 1080p Checking Account;COCHE;62329;archive Fantastic Plastic Chicken;payment;2022-11-21T23:02:24
8;tangible Mississippi;COCHE;76078;Idaho compress Avon;system Small;2022-11-22T02:41:14
9;red;COCHE;90756;Phased;Saint Lucia white;2022-11-21T14:36:10
10;Money Market Account;COCHE;63340;RSS;mint green e-business EXE;2022-11-22T05:26:49
